,Shutter B,Gain B,Mean Illumination B,Contrast B,Shutter I,Gain I,Mean Illumination I,Contrast I,numFeatures I,numMatches B-I,name I,FileLocation
11,509.0,16.0,136.83641927083335,241.0,120.0,16.0,45.225224609375005,238.0,409,70,csail03-08-15_1_0011.png,csail03-08-15_0/
12,509.0,16.0,136.83641927083335,241.0,131.0,16.0,48.50211263020834,240.0,431,71,csail03-08-15_1_0012.png,csail03-08-15_0/
13,509.0,16.0,136.83641927083335,241.0,142.0,16.0,51.72450846354167,242.0,469,44,csail03-08-15_1_0013.png,csail03-08-15_0/
14,509.0,16.0,136.83641927083335,241.0,152.0,16.0,54.588977864583335,244.0,484,29,csail03-08-15_1_0014.png,csail03-08-15_0/
15,509.0,16.0,136.83641927083335,241.0,163.0,16.0,57.72204427083334,245.0,512,27,csail03-08-15_1_0015.png,csail03-08-15_0/
16,509.0,16.0,136.83641927083335,241.0,174.0,16.0,60.87183268229167,246.0,537,25,csail03-08-15_1_0016.png,csail03-08-15_0/
17,509.0,16.0,136.83641927083335,241.0,185.0,16.0,63.96169596354167,246.0,550,36,csail03-08-15_1_0017.png,csail03-08-15_0/
18,509.0,16.0,136.83641927083335,241.0,196.0,16.0,67.086005859375,245.0,565,30,csail03-08-15_1_0018.png,csail03-08-15_0/
19,509.0,16.0,136.83641927083335,241.0,207.0,16.0,70.146123046875,245.0,582,32,csail03-08-15_1_0019.png,csail03-08-15_0/
20,509.0,16.0,136.83641927083335,241.0,217.0,16.0,72.93218098958334,245.0,593,31,csail03-08-15_1_0020.png,csail03-08-15_0/
21,509.0,16.0,136.83641927083335,241.0,228.0,16.0,76.023916015625,245.0,627,29,csail03-08-15_1_0021.png,csail03-08-15_0/
22,509.0,16.0,136.83641927083335,241.0,239.0,16.0,79.088896484375,245.0,633,30,csail03-08-15_1_0022.png,csail03-08-15_0/
23,509.0,16.0,136.83641927083335,241.0,250.0,16.0,82.07477864583333,245.0,665,32,csail03-08-15_1_0023.png,csail03-08-15_0/
24,509.0,16.0,136.83641927083335,241.0,261.0,16.0,84.99488932291668,245.0,686,36,csail03-08-15_1_0024.png,csail03-08-15_0/
25,509.0,16.0,136.83641927083335,241.0,271.0,16.0,87.57768880208334,244.0,712,37,csail03-08-15_1_0025.png,csail03-08-15_0/
26,509.0,16.0,136.83641927083335,241.0,282.0,16.0,90.42283528645834,244.0,744,29,csail03-08-15_1_0026.png,csail03-08-15_0/
27,509.0,16.0,136.83641927083335,241.0,293.0,16.0,93.11762695312501,245.0,753,31,csail03-08-15_1_0027.png,csail03-08-15_0/
28,509.0,16.0,136.83641927083335,241.0,304.0,16.0,95.67480143229167,244.0,766,42,csail03-08-15_1_0028.png,csail03-08-15_0/
29,509.0,16.0,136.83641927083335,241.0,315.0,16.0,98.11505859375,244.0,776,42,csail03-08-15_1_0029.png,csail03-08-15_0/
30,509.0,16.0,136.83641927083335,241.0,325.0,16.0,100.23099609375001,244.0,769,36,csail03-08-15_1_0030.png,csail03-08-15_0/
31,509.0,16.0,136.83641927083335,241.0,336.0,16.0,102.51835286458333,244.0,776,35,csail03-08-15_1_0031.png,csail03-08-15_0/
32,509.0,16.0,136.83641927083335,241.0,347.0,16.0,104.75769205729168,244.0,797,39,csail03-08-15_1_0032.png,csail03-08-15_0/
33,509.0,16.0,136.83641927083335,241.0,358.0,16.0,106.94591145833334,244.0,791,38,csail03-08-15_1_0033.png,csail03-08-15_0/
34,509.0,16.0,136.83641927083335,241.0,369.0,16.0,109.07901041666668,244.0,782,43,csail03-08-15_1_0034.png,csail03-08-15_0/
35,509.0,16.0,136.83641927083335,241.0,380.0,16.0,111.16638997395835,244.0,804,52,csail03-08-15_1_0035.png,csail03-08-15_0/
36,509.0,16.0,136.83641927083335,241.0,390.0,16.0,113.05888671875,244.0,813,42,csail03-08-15_1_0036.png,csail03-08-15_0/
37,509.0,16.0,136.83641927083335,241.0,401.0,16.0,114.84156575520834,243.0,808,54,csail03-08-15_1_0037.png,csail03-08-15_0/
38,509.0,16.0,136.83641927083335,241.0,412.0,16.0,116.79238932291668,245.0,814,48,csail03-08-15_1_0038.png,csail03-08-15_0/
39,509.0,16.0,136.83641927083335,241.0,423.0,16.0,118.71927083333334,243.0,831,53,csail03-08-15_1_0039.png,csail03-08-15_0/
40,509.0,16.0,136.83641927083335,241.0,434.0,16.0,120.63520507812501,243.0,825,54,csail03-08-15_1_0040.png,csail03-08-15_0/
