Frame,Timestamp,Run Number,Baseline,Experimental Mean Luminance,Shutter 0,Gain 0,Shutter 1,Gain 1,Image File 0,Image File 1,Experimental Method,Succesfully Tracked Features 1,Succesfully Tracked Features 0,STF Baseline,STF Experiment,Exposure Baseline,Exposure Experiment,Contrast,Mean Lum,FG Illum,BG Illum,Blur Lum,Exposure Sigma,Exposure Pred
67,2015-04-18 20:47:52.041188864,1.0,1.0,50.32495442708333,365.0,16.0,530.0,29.0,bldg33_2015-04-18_0_0067.png,bldg33_2015-04-18_1_0067.png,GP,150.0,256.0,150.0,256.0,960.625,365.0,246.0,50.324954427083334,59.93529866117405,47.0723771348902,80.32710280373831,32.25242389432029,348.31386880174324
68,2015-04-18 20:47:52.657665024,1.0,1.0,51.64301757812501,359.0,16.0,530.0,24.0,bldg33_2015-04-18_0_0068.png,bldg33_2015-04-18_1_0068.png,GP,322.0,239.0,322.0,239.0,795.0,359.0,246.0,51.643017578125004,58.475875386199796,49.33046793307773,79.26698450536352,33.448859466109276,345.3521082268943
69,2015-04-18 20:47:53.373421056,1.0,1.0,55.04937500000001,356.0,16.0,530.0,21.0,bldg33_2015-04-18_0_0069.png,bldg33_2015-04-18_1_0069.png,GP,242.0,260.0,242.0,260.0,695.625,356.0,246.0,55.049375000000005,48.818228630278064,57.15827814569536,80.29130009775172,33.9976257869602,342.9139843913499
70,2015-04-18 20:47:54.044663040,1.0,1.0,56.9574609375,353.0,16.0,530.0,25.0,bldg33_2015-04-18_0_0070.png,bldg33_2015-04-18_1_0070.png,GP,352.0,363.0,352.0,363.0,828.125,353.0,246.0,56.9574609375,54.73855561277034,57.70843935169048,81.87340529931305,34.64533785344274,342.6620922771525
71,2015-04-18 20:47:54.695175936,1.0,1.0,52.70213216145834,353.0,16.0,530.0,34.0,bldg33_2015-04-18_0_0071.png,bldg33_2015-04-18_1_0071.png,GP,354.0,292.0,354.0,292.0,1126.25,353.0,246.0,52.70213216145834,44.523094747682805,55.470290170791216,82.60222222222222,34.1500135950905,340.8105442822871
72,2015-04-18 20:47:55.350835968,1.0,1.0,50.27439778645834,351.0,16.0,530.0,31.0,bldg33_2015-04-18_0_0072.png,bldg33_2015-04-18_1_0072.png,GP,134.0,266.0,134.0,266.0,1026.875,351.0,246.0,50.27439778645834,52.54850669412976,49.504735970721505,80.7696335078534,35.16248674751948,337.89033263461727
73,2015-04-18 20:47:55.909764096,1.0,1.0,53.4741015625,348.0,16.0,530.0,37.0,bldg33_2015-04-18_0_0073.png,bldg33_2015-04-18_1_0073.png,GP,81.0,112.0,81.0,112.0,1225.625,348.0,247.0,53.4741015625,40.09165808444902,58.00332868595329,82.00299850074963,35.001281758884396,337.9825796404718
74,2015-04-18 20:47:56.397672960,1.0,1.0,43.46783203125001,349.0,16.0,530.0,43.0,bldg33_2015-04-18_0_0074.png,bldg33_2015-04-18_1_0074.png,GP,32.0,39.0,32.0,39.0,1424.375,349.0,246.0,43.467832031250005,37.48338053553038,45.49324241896131,80.73739130434782,36.60433657240548,327.8819635131832
75,2015-04-18 20:47:56.815920128,1.0,1.0,38.831350911458344,339.0,16.0,530.0,50.0,bldg33_2015-04-18_0_0075.png,bldg33_2015-04-18_1_0075.png,GP,12.0,26.0,12.0,26.0,1656.25,339.0,246.0,38.83135091145834,49.41340113285273,35.24990414778669,72.70685579196217,36.97066878758153,325.8649527777557
76,2015-04-18 20:47:57.252137984,1.0,1.0,34.22172200520833,338.0,16.0,530.0,58.0,bldg33_2015-04-18_0_0076.png,bldg33_2015-04-18_1_0076.png,GP,11.0,44.0,11.0,44.0,1921.25,338.0,247.0,34.221722005208335,46.67494850669413,30.006984140815614,72.05578512396694,37.39369807572554,323.84281558604044
